id,name,birth_date,address,city,zip,state,phone_number
1,Helaine McQuie,1971/11/11,19th Floor,Boise,83711,ID,208-101-5188
2,Rosemonde Kentwell,1951/10/01,Room 1248,Cincinnati,45243,OH,513-858-7691
3,Karel Message,2004/08/15,19th Floor,Kansas City,64144,MO,816-590-8675
4,Pedro O' Mara,1970/07/06,PO Box 45362,Lake Worth,33467,FL,561-361-5589
5,Owen Iacovini,1980/03/25,Apt 1731,Louisville,40287,KY,502-157-8042
6,Alvie Warwick,1998/01/22,Apt 1590,Cincinnati,45243,OH,513-480-6774
7,Kalindi Mansfield,1974/09/16,7th Floor,Greenville,29610,SC,864-858-8585
8,Rhett Curwood,1985/12/20,Room 1441,Reno,89550,NV,775-367-1978
9,Rabi Woodnutt,1995/05/24,Apt 618,Houston,77085,TX,713-271-8760
10,Selinda Bidgod,2004/05/26,Suite 71,Colorado Springs,80940,CO,719-337-1586
11,Mariele Harefoot,1967/08/20,Suite 54,Washington,20016,DC,202-785-4744
12,Lance Hovenden,1986/11/15,PO Box 52153,Farmington,48335,MI,248-798-3965
13,Carlina Tolliday,1982/04/06,3rd Floor,Houston,77260,TX,713-192-8934
14,Lavinie Dorkins,1960/08/21,PO Box 55287,Dayton,45440,OH,937-369-6262
15,Fianna Jurgensen,1980/06/14,Apt 679,Indianapolis,46226,IN,317-424-8688
16,Lindy Cade,1963/08/22,Suite 29,Tulsa,74103,OK,918-410-7301
17,Rebe Lonsbrough,1983/07/06,Suite 60,Pompano Beach,33075,FL,754-379-0995
18,Carlynne Lattie,1971/03/13,15th Floor,Raleigh,27621,NC,919-291-4788
19,Orelee McVicar,1980/03/31,PO Box 73606,Chicago,60624,IL,312-588-4175
20,Margie Grouse,1980/12/22,PO Box 4090,Falls Church,22047,VA,571-803-4607
21,Melantha Mott,1967/06/26,PO Box 67228,Van Nuys,91411,CA,626-828-9385
22,Emmalynne Langthorne,1980/04/02,Apt 11,Milwaukee,53225,WI,414-515-5251
23,Godfrey Le Houx,2003/03/30,5th Floor,San Diego,92145,CA,858-505-1941
24,Liliane Rowat,1999/10/12,PO Box 38924,Washington,20078,DC,202-430-6419
